family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
grid	5	20	grid_k5_N25_seed20	ok	8	10	40	20	30	31	1
grid	5	21	grid_k5_N25_seed21	ok	8	10	40	20	30	31	1
grid	5	22	grid_k5_N25_seed22	ok	8	10	40	20	30	31	1
grid	5	23	grid_k5_N25_seed23	ok	8	10	40	20	30	31	1
grid	5	24	grid_k5_N25_seed24	ok	8	10	40	20	30	31	1
grid	5	25	grid_k5_N25_seed25	ok	8	10	40	20	30	31	1
grid	5	26	grid_k5_N25_seed26	ok	8	10	40	20	30	31	1
grid	5	27	grid_k5_N25_seed27	ok	8	10	40	20	30	31	1
grid	5	28	grid_k5_N25_seed28	ok	8	10	40	20	30	31	1
grid	5	29	grid_k5_N25_seed29	ok	8	10	40	20	30	31	1
grid	5	30	grid_k5_N25_seed30	ok	8	10	40	20	30	31	1
grid	5	31	grid_k5_N25_seed31	ok	8	10	40	20	30	31	1
grid	5	32	grid_k5_N25_seed32	ok	8	10	40	20	30	31	1
grid	5	33	grid_k5_N25_seed33	ok	8	10	40	20	30	31	1
grid	5	34	grid_k5_N25_seed34	ok	8	10	40	20	30	31	1
grid	5	35	grid_k5_N25_seed35	ok	8	10	40	20	30	31	1
grid	5	36	grid_k5_N25_seed36	ok	8	10	40	20	30	31	1
grid	5	37	grid_k5_N25_seed37	ok	8	10	40	20	30	31	1
grid	5	38	grid_k5_N25_seed38	ok	8	10	40	20	30	31	1
grid	5	39	grid_k5_N25_seed39	ok	8	10	40	20	30	31	1
grid	5	40	grid_k5_N25_seed40	ok	8	10	40	20	30	31	1
grid	6	1	grid_k6_N36_seed1	ok	10	12	60	30	41	42	1
grid	6	2	grid_k6_N36_seed2	ok	10	12	60	30	41	42	1
grid	6	3	grid_k6_N36_seed3	ok	10	12	60	30	41	42	1
grid	6	4	grid_k6_N36_seed4	ok	10	12	60	30	41	42	1
grid	6	5	grid_k6_N36_seed5	ok	10	12	60	30	41	42	1
grid	6	6	grid_k6_N36_seed6	ok	10	12	60	30	41	42	1
grid	6	7	grid_k6_N36_seed7	ok	10	12	60	30	41	42	1
grid	6	8	grid_k6_N36_seed8	ok	10	12	60	30	41	42	1
grid	6	9	grid_k6_N36_seed9	ok	10	12	60	30	41	42	1
grid	6	10	grid_k6_N36_seed10	ok	10	12	60	30	41	42	1
grid	6	11	grid_k6_N36_seed11	ok	10	12	60	30	41	42	1
grid	6	12	grid_k6_N36_seed12	ok	10	12	60	30	41	42	1
grid	6	13	grid_k6_N36_seed13	ok	10	12	60	30	41	42	1
grid	6	14	grid_k6_N36_seed14	ok	10	12	60	30	41	42	1
